Node	Technology	AvailabilityFactor
2	Power_Grid	1.0
3	Power_Grid	1.0
4	Power_Grid	1.0
5	Power_Grid	1.0
6	Power_Grid	1.0
7	Power_Grid	1.0
8	Power_Grid	1.0
9	Power_Grid	1.0
10	Power_Grid	1.0
11	Power_Grid	1.0
12	Power_Grid	1.0
13	Power_Grid	1.0
14	Power_Grid	1.0
15	Power_Grid	1.0
16	Power_Grid	1.0
17	Power_Grid	1.0
18	Power_Grid	1.0
19	Power_Grid	1.0
20	Power_Grid	1.0
21	Power_Grid	1.0
22	Power_Grid	1.0
23	Power_Grid	1.0
24	Power_Grid	1.0
25	Power_Grid	1.0
26	Power_Grid	1.0
27	Power_Grid	1.0
28	Power_Grid	1.0
29	Power_Grid	1.0
30	Power_Grid	1.0
31	Power_Grid	1.0
32	Power_Grid	1.0
33	Power_Grid	1.0
34	Power_Grid	1.0
35	Power_Grid	1.0
36	Power_Grid	1.0
37	Power_Grid	1.0
38	Power_Grid	1.0
39	Power_Grid	1.0
40	Power_Grid	1.0
41	Power_Grid	1.0
42	Power_Grid	1.0
43	Power_Grid	1.0
44	Power_Grid	1.0
45	Power_Grid	1.0
46	Power_Grid	1.0
47	Power_Grid	1.0
48	Power_Grid	1.0
49	Power_Grid	1.0
50	Power_Grid	1.0
51	Power_Grid	1.0
52	Power_Grid	1.0
53	Power_Grid	1.0
54	Power_Grid	1.0
55	Power_Grid	1.0
56	Power_Grid	1.0
57	Power_Grid	1.0
58	Power_Grid	1.0
59	Power_Grid	1.0
60	Power_Grid	1.0
61	Power_Grid	1.0
62	Power_Grid	1.0
63	Power_Grid	1.0
2	ElectricBoiler	0.98
3	ElectricBoiler	0.98
4	ElectricBoiler	0.98
5	ElectricBoiler	0.98
6	ElectricBoiler	0.98
7	ElectricBoiler	0.98
8	ElectricBoiler	0.98
9	ElectricBoiler	0.98
10	ElectricBoiler	0.98
11	ElectricBoiler	0.98
12	ElectricBoiler	0.98
13	ElectricBoiler	0.98
14	ElectricBoiler	0.98
15	ElectricBoiler	0.98
16	ElectricBoiler	0.98
17	ElectricBoiler	0.98
18	ElectricBoiler	0.98
19	ElectricBoiler	0.98
20	ElectricBoiler	0.98
21	ElectricBoiler	0.98
22	ElectricBoiler	0.98
23	ElectricBoiler	0.98
24	ElectricBoiler	0.98
25	ElectricBoiler	0.98
26	ElectricBoiler	0.98
27	ElectricBoiler	0.98
28	ElectricBoiler	0.98
29	ElectricBoiler	0.98
30	ElectricBoiler	0.98
31	ElectricBoiler	0.98
32	ElectricBoiler	0.98
33	ElectricBoiler	0.98
34	ElectricBoiler	0.98
35	ElectricBoiler	0.98
36	ElectricBoiler	0.98
37	ElectricBoiler	0.98
38	ElectricBoiler	0.98
39	ElectricBoiler	0.98
40	ElectricBoiler	0.98
41	ElectricBoiler	0.98
42	ElectricBoiler	0.98
43	ElectricBoiler	0.98
44	ElectricBoiler	0.98
45	ElectricBoiler	0.98
46	ElectricBoiler	0.98
47	ElectricBoiler	0.98
48	ElectricBoiler	0.98
49	ElectricBoiler	0.98
50	ElectricBoiler	0.98
51	ElectricBoiler	0.98
52	ElectricBoiler	0.98
53	ElectricBoiler	0.98
54	ElectricBoiler	0.98
55	ElectricBoiler	0.98
56	ElectricBoiler	0.98
57	ElectricBoiler	0.98
58	ElectricBoiler	0.98
59	ElectricBoiler	0.98
60	ElectricBoiler	0.98
61	ElectricBoiler	0.98
62	ElectricBoiler	0.98
63	ElectricBoiler	0.98
2	HeatPump_LT	0.98
3	HeatPump_LT	0.98
4	HeatPump_LT	0.98
5	HeatPump_LT	0.98
6	HeatPump_LT	0.98
7	HeatPump_LT	0.98
8	HeatPump_LT	0.98
9	HeatPump_LT	0.98
10	HeatPump_LT	0.98
11	HeatPump_LT	0.98
12	HeatPump_LT	0.98
13	HeatPump_LT	0.98
14	HeatPump_LT	0.98
15	HeatPump_LT	0.98
16	HeatPump_LT	0.98
17	HeatPump_LT	0.98
18	HeatPump_LT	0.98
19	HeatPump_LT	0.98
20	HeatPump_LT	0.98
21	HeatPump_LT	0.98
22	HeatPump_LT	0.98
23	HeatPump_LT	0.98
24	HeatPump_LT	0.98
25	HeatPump_LT	0.98
26	HeatPump_LT	0.98
27	HeatPump_LT	0.98
28	HeatPump_LT	0.98
29	HeatPump_LT	0.98
30	HeatPump_LT	0.98
31	HeatPump_LT	0.98
32	HeatPump_LT	0.98
33	HeatPump_LT	0.98
34	HeatPump_LT	0.98
35	HeatPump_LT	0.98
36	HeatPump_LT	0.98
37	HeatPump_LT	0.98
38	HeatPump_LT	0.98
39	HeatPump_LT	0.98
40	HeatPump_LT	0.98
41	HeatPump_LT	0.98
42	HeatPump_LT	0.98
43	HeatPump_LT	0.98
44	HeatPump_LT	0.98
45	HeatPump_LT	0.98
46	HeatPump_LT	0.98
47	HeatPump_LT	0.98
48	HeatPump_LT	0.98
49	HeatPump_LT	0.98
50	HeatPump_LT	0.98
51	HeatPump_LT	0.98
52	HeatPump_LT	0.98
53	HeatPump_LT	0.98
54	HeatPump_LT	0.98
55	HeatPump_LT	0.98
56	HeatPump_LT	0.98
57	HeatPump_LT	0.98
58	HeatPump_LT	0.98
59	HeatPump_LT	0.98
60	HeatPump_LT	0.98
61	HeatPump_LT	0.98
62	HeatPump_LT	0.98
63	HeatPump_LT	0.98
2	HeatPump_MT	0.98
3	HeatPump_MT	0.98
4	HeatPump_MT	0.98
5	HeatPump_MT	0.98
6	HeatPump_MT	0.98
