Node	Technology	Cost
2	Power_Grid	0.0
3	Power_Grid	0.0
4	Power_Grid	0.0
5	Power_Grid	0.0
6	Power_Grid	0.0
7	Power_Grid	0.0
8	Power_Grid	0.0
9	Power_Grid	0.0
10	Power_Grid	0.0
11	Power_Grid	0.0
12	Power_Grid	0.0
13	Power_Grid	0.0
14	Power_Grid	0.0
15	Power_Grid	0.0
16	Power_Grid	0.0
17	Power_Grid	0.0
18	Power_Grid	0.0
19	Power_Grid	0.0
20	Power_Grid	0.0
21	Power_Grid	0.0
22	Power_Grid	0.0
23	Power_Grid	0.0
24	Power_Grid	0.0
25	Power_Grid	0.0
26	Power_Grid	0.0
27	Power_Grid	0.0
28	Power_Grid	0.0
29	Power_Grid	0.0
30	Power_Grid	0.0
31	Power_Grid	0.0
32	Power_Grid	0.0
33	Power_Grid	0.0
34	Power_Grid	0.0
35	Power_Grid	0.0
36	Power_Grid	0.0
37	Power_Grid	0.0
38	Power_Grid	0.0
39	Power_Grid	0.0
40	Power_Grid	0.0
41	Power_Grid	0.0
42	Power_Grid	0.0
43	Power_Grid	0.0
44	Power_Grid	0.0
45	Power_Grid	0.0
46	Power_Grid	0.0
47	Power_Grid	0.0
48	Power_Grid	0.0
49	Power_Grid	0.0
50	Power_Grid	0.0
51	Power_Grid	0.0
52	Power_Grid	0.0
53	Power_Grid	0.0
54	Power_Grid	0.0
55	Power_Grid	0.0
56	Power_Grid	0.0
57	Power_Grid	0.0
58	Power_Grid	0.0
59	Power_Grid	0.0
60	Power_Grid	0.0
61	Power_Grid	0.0
62	Power_Grid	0.0
63	Power_Grid	0.0
2	ElectricBoiler	0.0
3	ElectricBoiler	0.0
4	ElectricBoiler	0.0
5	ElectricBoiler	0.0
6	ElectricBoiler	0.0
7	ElectricBoiler	0.0
8	ElectricBoiler	0.0
9	ElectricBoiler	0.0
10	ElectricBoiler	0.0
11	ElectricBoiler	0.0
12	ElectricBoiler	0.0
13	ElectricBoiler	0.0
14	ElectricBoiler	0.0
15	ElectricBoiler	0.0
16	ElectricBoiler	0.0
17	ElectricBoiler	0.0
18	ElectricBoiler	0.0
19	ElectricBoiler	0.0
20	ElectricBoiler	0.0
21	ElectricBoiler	0.0
22	ElectricBoiler	0.0
23	ElectricBoiler	0.0
24	ElectricBoiler	0.0
25	ElectricBoiler	0.0
26	ElectricBoiler	0.0
27	ElectricBoiler	0.0
28	ElectricBoiler	0.0
29	ElectricBoiler	0.0
30	ElectricBoiler	0.0
31	ElectricBoiler	0.0
32	ElectricBoiler	0.0
33	ElectricBoiler	0.0
34	ElectricBoiler	0.0
35	ElectricBoiler	0.0
36	ElectricBoiler	0.0
37	ElectricBoiler	0.0
38	ElectricBoiler	0.0
39	ElectricBoiler	0.0
40	ElectricBoiler	0.0
41	ElectricBoiler	0.0
42	ElectricBoiler	0.0
43	ElectricBoiler	0.0
44	ElectricBoiler	0.0
45	ElectricBoiler	0.0
46	ElectricBoiler	0.0
47	ElectricBoiler	0.0
48	ElectricBoiler	0.0
49	ElectricBoiler	0.0
50	ElectricBoiler	0.0
51	ElectricBoiler	0.0
52	ElectricBoiler	0.0
53	ElectricBoiler	0.0
54	ElectricBoiler	0.0
55	ElectricBoiler	0.0
56	ElectricBoiler	0.0
57	ElectricBoiler	0.0
58	ElectricBoiler	0.0
59	ElectricBoiler	0.0
60	ElectricBoiler	0.0
61	ElectricBoiler	0.0
62	ElectricBoiler	0.0
63	ElectricBoiler	0.0
2	HeatPump_LT	0.0
3	HeatPump_LT	0.0
4	HeatPump_LT	0.0
5	HeatPump_LT	0.0
6	HeatPump_LT	0.0
7	HeatPump_LT	0.0
8	HeatPump_LT	0.0
9	HeatPump_LT	0.0
10	HeatPump_LT	0.0
11	HeatPump_LT	0.0
12	HeatPump_LT	0.0
13	HeatPump_LT	0.0
14	HeatPump_LT	0.0
15	HeatPump_LT	0.0
16	HeatPump_LT	0.0
17	HeatPump_LT	0.0
18	HeatPump_LT	0.0
19	HeatPump_LT	0.0
20	HeatPump_LT	0.0
21	HeatPump_LT	0.0
22	HeatPump_LT	0.0
23	HeatPump_LT	0.0
24	HeatPump_LT	0.0
25	HeatPump_LT	0.0
26	HeatPump_LT	0.0
27	HeatPump_LT	0.0
28	HeatPump_LT	0.0
29	HeatPump_LT	0.0
30	HeatPump_LT	0.0
31	HeatPump_LT	0.0
32	HeatPump_LT	0.0
33	HeatPump_LT	0.0
34	HeatPump_LT	0.0
35	HeatPump_LT	0.0
36	HeatPump_LT	0.0
37	HeatPump_LT	0.0
38	HeatPump_LT	0.0
39	HeatPump_LT	0.0
40	HeatPump_LT	0.0
41	HeatPump_LT	0.0
42	HeatPump_LT	0.0
43	HeatPump_LT	0.0
44	HeatPump_LT	0.0
45	HeatPump_LT	0.0
46	HeatPump_LT	0.0
47	HeatPump_LT	0.0
