Node	EnergyCarrier	Demand
2	Electricity	13
3	Electricity	16
4	Electricity	16
5	Electricity	16
6	Electricity	18
7	Electricity	13
8	Electricity	15
9	Electricity	18
10	Electricity	17
11	Electricity	15
12	Electricity	18
13	Electricity	17
14	Electricity	19
15	Electricity	20
16	Electricity	18
17	Electricity	17
18	Electricity	22
19	Electricity	18
20	Electricity	13
21	Electricity	16
22	Electricity	16
23	Electricity	16
24	Electricity	18
25	Electricity	13
26	Electricity	15
27	Electricity	18
28	Electricity	17
29	Electricity	15
30	Electricity	18
31	Electricity	17
32	Electricity	19
33	Electricity	20
34	Electricity	18
35	Electricity	17
36	Electricity	22
37	Electricity	18
38	Electricity	13
39	Electricity	16
40	Electricity	16
41	Electricity	16
42	Electricity	18
43	Electricity	13
44	Electricity	13
45	Electricity	16
46	Electricity	16
47	Electricity	16
48	Electricity	18
49	Electricity	13
50	Electricity	13
51	Electricity	16
52	Electricity	16
53	Electricity	16
54	Electricity	18
55	Electricity	13
56	Electricity	15
57	Electricity	18
58	Electricity	17
59	Electricity	15
60	Electricity	18
61	Electricity	17
62	Electricity	19
63	Electricity	20
2	LT	4
3	LT	4
4	LT	4
5	LT	4
6	LT	4
7	LT	4
8	LT	4
9	LT	4
10	LT	4
11	LT	4
12	LT	4
13	LT	4
14	LT	4
15	LT	4
16	LT	4
17	LT	4
18	LT	4
19	LT	4
20	LT	4
21	LT	4
22	LT	4
23	LT	4
24	LT	4
25	LT	4
26	LT	4
27	LT	4
28	LT	4
29	LT	4
30	LT	4
31	LT	4
32	LT	4
33	LT	4
34	LT	4
35	LT	4
36	LT	4
37	LT	4
38	LT	4
39	LT	4
40	LT	4
41	LT	4
42	LT	4
43	LT	4
44	LT	4
45	LT	4
46	LT	4
47	LT	4
48	LT	4
49	LT	4
50	LT	4
51	LT	4
52	LT	4
53	LT	4
54	LT	4
55	LT	4
56	LT	4
57	LT	4
58	LT	4
59	LT	4
60	LT	4
61	LT	4
62	LT	4
63	LT	4
2	MT	4
3	MT	4
4	MT	4
5	MT	4
6	MT	4
7	MT	4
8	MT	4
9	MT	4
10	MT	4
11	MT	4
12	MT	4
13	MT	4
14	MT	4
15	MT	4
16	MT	4
17	MT	4
18	MT	4
19	MT	4
20	MT	4
21	MT	4
22	MT	4
23	MT	4
24	MT	4
25	MT	4
26	MT	4
27	MT	4
28	MT	4
29	MT	4
30	MT	4
31	MT	4
32	MT	4
33	MT	4
34	MT	4
35	MT	4
36	MT	4
37	MT	4
38	MT	4
39	MT	4
40	MT	4
41	MT	4
42	MT	4
43	MT	4
44	MT	4
45	MT	4
46	MT	4
47	MT	4
48	MT	4
