Node	Technology	CostExport
2	Power_Grid	0
3	Power_Grid	0
4	Power_Grid	0
5	Power_Grid	0
6	Power_Grid	0
7	Power_Grid	0
8	Power_Grid	0
9	Power_Grid	0
10	Power_Grid	0
11	Power_Grid	0
12	Power_Grid	0
13	Power_Grid	0
14	Power_Grid	0
15	Power_Grid	0
16	Power_Grid	0
17	Power_Grid	0
18	Power_Grid	0
19	Power_Grid	0
20	Power_Grid	0
21	Power_Grid	0
22	Power_Grid	0
23	Power_Grid	0
24	Power_Grid	0
25	Power_Grid	0
26	Power_Grid	0
27	Power_Grid	0
28	Power_Grid	0
29	Power_Grid	0
30	Power_Grid	0
31	Power_Grid	0
32	Power_Grid	0
33	Power_Grid	0
34	Power_Grid	0
35	Power_Grid	0
36	Power_Grid	0
37	Power_Grid	0
38	Power_Grid	0
39	Power_Grid	0
40	Power_Grid	0
41	Power_Grid	0
42	Power_Grid	0
43	Power_Grid	0
44	Power_Grid	0
45	Power_Grid	0
46	Power_Grid	0
47	Power_Grid	0
48	Power_Grid	0
49	Power_Grid	0
50	Power_Grid	0
51	Power_Grid	0
52	Power_Grid	0
53	Power_Grid	0
54	Power_Grid	0
55	Power_Grid	0
56	Power_Grid	0
57	Power_Grid	0
58	Power_Grid	0
59	Power_Grid	0
60	Power_Grid	0
61	Power_Grid	0
62	Power_Grid	0
63	Power_Grid	0
2	ElectricBoiler	0
3	ElectricBoiler	0
4	ElectricBoiler	0
5	ElectricBoiler	0
6	ElectricBoiler	0
7	ElectricBoiler	0
8	ElectricBoiler	0
9	ElectricBoiler	0
10	ElectricBoiler	0
11	ElectricBoiler	0
12	ElectricBoiler	0
13	ElectricBoiler	0
14	ElectricBoiler	0
15	ElectricBoiler	0
16	ElectricBoiler	0
17	ElectricBoiler	0
18	ElectricBoiler	0
19	ElectricBoiler	0
20	ElectricBoiler	0
21	ElectricBoiler	0
22	ElectricBoiler	0
23	ElectricBoiler	0
24	ElectricBoiler	0
25	ElectricBoiler	0
26	ElectricBoiler	0
27	ElectricBoiler	0
28	ElectricBoiler	0
29	ElectricBoiler	0
30	ElectricBoiler	0
31	ElectricBoiler	0
32	ElectricBoiler	0
33	ElectricBoiler	0
34	ElectricBoiler	0
35	ElectricBoiler	0
36	ElectricBoiler	0
37	ElectricBoiler	0
38	ElectricBoiler	0
39	ElectricBoiler	0
40	ElectricBoiler	0
41	ElectricBoiler	0
42	ElectricBoiler	0
43	ElectricBoiler	0
44	ElectricBoiler	0
45	ElectricBoiler	0
46	ElectricBoiler	0
47	ElectricBoiler	0
48	ElectricBoiler	0
49	ElectricBoiler	0
50	ElectricBoiler	0
51	ElectricBoiler	0
52	ElectricBoiler	0
53	ElectricBoiler	0
54	ElectricBoiler	0
55	ElectricBoiler	0
56	ElectricBoiler	0
57	ElectricBoiler	0
58	ElectricBoiler	0
59	ElectricBoiler	0
60	ElectricBoiler	0
61	ElectricBoiler	0
62	ElectricBoiler	0
63	ElectricBoiler	0
2	HeatPump_LT	0
3	HeatPump_LT	0
4	HeatPump_LT	0
5	HeatPump_LT	0
6	HeatPump_LT	0
7	HeatPump_LT	0
8	HeatPump_LT	0
9	HeatPump_LT	0
10	HeatPump_LT	0
11	HeatPump_LT	0
12	HeatPump_LT	0
13	HeatPump_LT	0
14	HeatPump_LT	0
15	HeatPump_LT	0
16	HeatPump_LT	0
17	HeatPump_LT	0
18	HeatPump_LT	0
19	HeatPump_LT	0
20	HeatPump_LT	0
21	HeatPump_LT	0
22	HeatPump_LT	0
23	HeatPump_LT	0
24	HeatPump_LT	0
25	HeatPump_LT	0
26	HeatPump_LT	0
27	HeatPump_LT	0
28	HeatPump_LT	0
29	HeatPump_LT	0
30	HeatPump_LT	0
31	HeatPump_LT	0
32	HeatPump_LT	0
33	HeatPump_LT	0
34	HeatPump_LT	0
35	HeatPump_LT	0
36	HeatPump_LT	0
37	HeatPump_LT	0
38	HeatPump_LT	0
39	HeatPump_LT	0
40	HeatPump_LT	0
41	HeatPump_LT	0
42	HeatPump_LT	0
43	HeatPump_LT	0
44	HeatPump_LT	0
45	HeatPump_LT	0
46	HeatPump_LT	0
47	HeatPump_LT	0
48	HeatPump_LT	0
49	HeatPump_LT	0
50	HeatPump_LT	0
51	HeatPump_LT	0
52	HeatPump_LT	0
53	HeatPump_LT	0
54	HeatPump_LT	0
55	HeatPump_LT	0
56	HeatPump_LT	0
57	HeatPump_LT	0
58	HeatPump_LT	0
59	HeatPump_LT	0
60	HeatPump_LT	0
61	HeatPump_LT	0
62	HeatPump_LT	0
63	HeatPump_LT	0
2	HeatPump_MT	0
3	HeatPump_MT	0
4	HeatPump_MT	0
5	HeatPump_MT	0
6	HeatPump_MT	0
7	HeatPump_MT	0
8	HeatPump_MT	0
9	HeatPump_MT	0
10	HeatPump_MT	0
11	HeatPump_MT	0
12	HeatPump_MT	0
13	HeatPump_MT	0
14	HeatPump_MT	0
