Node	ScenarioProbability
2	0.5
3	0.5
4	0.25
5	0.25
6	0.25
7	0.25
8	0.125
9	0.125
10	0.125
11	0.125
12	0.125
13	0.125
14	0.125
15	0.125
16	0.0625
17	0.0625
18	0.0625
19	0.0625
20	0.0625
21	0.0625
22	0.0625
23	0.0625
24	0.0625
25	0.0625
26	0.0625
27	0.0625
28	0.0625
29	0.0625
30	0.0625
31	0.0625
32	0.03125
33	0.03125
34	0.03125
35	0.03125
36	0.03125
37	0.03125
38	0.03125
39	0.03125
40	0.03125
41	0.03125
42	0.03125
43	0.03125
44	0.03125
45	0.03125
46	0.03125
47	0.03125
48	0.03125
49	0.03125
50	0.03125
51	0.03125
52	0.03125
53	0.03125
54	0.03125
55	0.03125
56	0.03125
57	0.03125
58	0.03125
59	0.03125
60	0.03125
61	0.03125
62	0.03125
63	0.03125
