Node	SpotPrice
2	21.01
3	21.0
4	20.98
5	21.43
6	19.79
7	18.02
8	10.13
9	12.01
10	14.41
11	21.22
12	21.63
13	21.01
14	21.0
15	20.98
16	21.43
17	19.79
18	18.02
19	10.13
20	12.01
21	14.41
22	21.22
23	21.63
24	21.01
25	21.0
26	20.98
27	21.43
28	19.79
29	18.02
30	10.13
31	12.01
32	14.41
33	21.22
34	21.63
35	21.01
36	21.0
37	20.98
38	21.43
39	19.79
40	18.02
41	10.13
42	12.01
43	14.41
44	21.22
45	21.63
46	21.01
47	21.0
48	20.98
49	21.43
50	18.9570588235294
51	18.9137254901961
52	18.8703921568627
53	18.8270588235294
54	18.7837254901961
55	18.7403921568627
56	18.6970588235294
57	18.6537254901961
58	18.6103921568628
59	18.5670588235294
60	18.5237254901961
61	18.4803921568627
62	18.4370588235294
63	18.3937254901961
